title,author,subject,year,abstract,tags,availability
Introduction to Information Retrieval,Christopher D. Manning; Prabhakar Raghavan; Hinrich Schütze,Information Retrieval,2008,"Textbook on search engines and IR, including indexing and ranking.","information retrieval, tf-idf, search, ranking",available
Practical Statistics for Data Scientists,Peter Bruce; Andrew Bruce; Peter Gedeck,Statistics,2020,Essential statistical methods for data science practice.,"statistics, inference, regression, sampling",available
Effective Java,Joshua Bloch,Programming,2018,Best practices and idioms for writing robust Java code.,"java, best practices, design, patterns",available
Fundamentals of Database Systems,Ramez Elmasri; Shamkant Navathe,Databases,2016,Comprehensive coverage of database theory and practice.,"database, relational, design, normalization",available
Operating System Concepts,Abraham Silberschatz; Peter B. Galvin; Greg Gagne,Operating Systems,2018,Core concepts of modern operating systems with case studies.,"operating systems, concurrency, memory, processes",available
Artificial Intelligence: A Modern Approach,Stuart Russell; Peter Norvig,Artificial Intelligence,2021,Comprehensive overview of AI concepts and techniques.,"ai, search, planning, reasoning",available
The Elements of Statistical Learning,Trevor Hastie; Robert Tibshirani; Jerome Friedman,Machine Learning,2017,Classic reference on statistical learning theory and methods.,"statistical learning, regression, classification",available
Probabilistic Graphical Models: Principles and Techniques,Daphne Koller; Nir Friedman,Machine Learning,2009,Foundational book on PGMs including Bayesian and Markov networks.,"pgm, bayesian networks, inference, probability",unavailable
Grokking Algorithms,Aditya Bhargava,Algorithms,2016,Illustrated guide to fundamental algorithms for beginners.,"algorithms, visualization, basics",available
Fluent Python,Luciano Ramalho,Programming,2022,Deep dive into Pythonic idioms and modern features.,"python, idioms, asyncio, typing",available
Computer Networking: A Top-Down Approach,James F. Kurose; Keith W. Ross,Networking,2021,Introductory networking text using an application-first perspective.,"networking, tcp/ip, internet",available
Data Visualization with Python and JavaScript,Kyran Dale,Data Visualization,2016,Building interactive visualizations across Python and JS.,"dataviz, d3.js, matplotlib",unavailable
Designing Web APIs,Brenda Jin; Saurabh Sahni; Amir Shevat,APIs,2018,"Practical patterns for API design, documentation, and security.","api design, rest, web",available
Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,Software Architecture,2003,Strategic and tactical patterns for modeling complex domains.,"ddd, modeling, bounded context",available
Refactoring: Improving the Design of Existing Code,Martin Fowler,Software Engineering,2018,Guided approach to refactoring with examples in Java.,"refactoring, design, smells",available
Kubernetes in Action,Marko Luksa,Cloud Native,2022,Hands-on guide to deploying and operating apps on Kubernetes.,"kubernetes, containers, orchestration",available
Terraform: Up & Running,Yevgeniy Brikman,Cloud Infrastructure,2023,Practical infrastructure as code with Terraform.,"terraform, iac, cloud",available
Reactive Design Patterns,Roland Kuhn; Jamie Allen; Brian Hanafee,Distributed Systems,2017,Patterns for building responsive and resilient reactive systems.,"reactive, akka, resilience",available
Continuous Delivery,Jez Humble; David Farley,DevOps,2010,Principles and practices for reliable and frequent software releases.,"cd, pipelines, deployment",available
The DevOps Handbook,Gene Kim; Jez Humble; Patrick Debois; John Willis,DevOps,2021,"How to create world-class agility, reliability, and security in tech organizations.","devops, culture, delivery",available
Machine Learning Engineering,Andriy Burkov,Machine Learning,2020,Practical guide to building and shipping ML systems.,"ml engineering, pipelines, deployment",available
"Practical Deep Learning for Cloud, Mobile & Edge",Anirudh Koul; Siddha Ganju; Meher Kasam,Deep Learning,2019,Applied deep learning projects across platforms.,"deep learning, edge, mobile",available
MLOps Engineering at Scale,Carl Osipov,Machine Learning,2023,End-to-end MLOps patterns for production ML.,"mlops, deployment, monitoring",available
TinyML,Pete Warden; Daniel Situnayake,Embedded AI,2019,Building machine learning models for microcontrollers.,"tinyml, embedded, iot",unavailable
Data Pipelines with Apache Airflow,Bas P. Harenslak; Julian Rutger de Ruiter,Data Engineering,2021,Designing and building data pipelines using Airflow.,"airflow, data pipelines, scheduling",available
Business @ the speed of thought,Bill Gates; Collins Hemingway,Computer Science,1999,Topics: computer science,computer science,available
Computer science,J. Glenn Brookshear; Glenn Brookshear,Computer Science,2002,Topics: computer science,computer science,available
Tom Clancy's Net Force,Tom Clancy; Steve R. Pieczenik,Computer Science,1998,Topics: computer science,computer science,available
C++ how to program,Harvey M. Deitel; Paul J. Deitel,Computer Science,1992,Topics: computer science,computer science,available
The Human Use of Human Beings,Norbert Wiener,Computer Science,1950,Topics: computer science,computer science,available
In the Beginning...Was the Command Line,Neal Stephenson,Computer Science,1999,Topics: computer science,computer science,unavailable
The Eye of Minds,James Dashner,Computer Science,2013,Topics: computer science,computer science,available
Only You Can Save Mankind,Terry Pratchett,Computer Science,1992,Topics: computer science,computer science,available
Algorithms of Oppression,Safiya Umoja Noble,Computer Science,2018,How Search Engines Reinforce Racism,computer science,available
The art of doing science and engineering,Richard Hamming; Bret Victor,Computer Science,1996,Topics: computer science,computer science,available
Java software solutions,"Lewis, John; John E. Lewis Ph. D.; William Loftus",Computer Science,1997,Topics: computer science,computer science,available
Technology in action,Alan Evans; Alan Evans,Computer Science,2004,Topics: computer science,computer science,available
Artificial Intelligence Applications and Innovations,Lazaros S. Iliadis; Ilias Maglogiannis; Harris Papadopoulos,Computer Science,2006,Topics: computer science,computer science,available
A new kind of science,Stephen Wolfram,Computer Science,2002,Topics: computer science,computer science,unavailable
Exit Strategy,Martha Wells,Computer Science,2018,Topics: computer science,computer science,available
Computer Science Distilled,Wladston Ferreira Filho; Raimondo Pictet,Computer Science,2017,Topics: computer science,computer science,available
System Collapse,Martha Wells,Computer Science,2023,Topics: computer science,computer science,unavailable
Quantum computation and quantum information,Michael A. Nielsen; Isaac L. Chuang; CAMBRIDGE INDIA,Computer Science,2000,Topics: computer science,computer science,available
In Real Life,Cory Doctorow; Jen Wang,Computer Science,2014,Topics: computer science,computer science,available
Concrete mathematics,Ronald L. Graham; Donald Knuth; Oren Patashnik,Computer Science,1988,Topics: computer science,computer science,available
Freedom™,Daniel Suarez,Computer Science,2010,Topics: computer science,computer science,unavailable
Distributed Systems,Andrew S. Tanenbaum; Maarten Van Steen; Maarten van Steen,Computer Science,2001,Topics: computer science,computer science,available
Hands on Hacking,Jennifer Arcuri; Matthew Hickey; James McAlonan,Computer Science,2019,Become an Expert at Next Gen Penetration Testing and Purple Teaming,computer science,available
Introduction to Java Programming,Y. Daniel Liang,Computer Science,1999,comprehensive version,computer science,unavailable
Systems analysis and design,"Kendall, Kenneth E.; Kenneth E. Kendall; Julie E. Kendall",Computer Science,1988,Topics: computer science,computer science,unavailable
Pro Git,Scott Chacon; Ben Straub,Computer Science,2009,Topics: computer science,computer science,available
Advances in Computers,Atif Memon,Computer Science,2012,Topics: computer science,computer science,available
"Data structures, algorithms, and software principles in C",Thomas A. Standish,Computer Science,1995,Topics: computer science,computer science,unavailable
Glut,Alex Wright,Computer Science,2007,Mastering Information Through the Ages,computer science,available
Discrete mathematics,Kenneth A. Ross,Computer Science,1985,Topics: computer science,computer science,available
An introduction to data structures with applications,Jean-Paul Tremblay; Paul Gordon Sorenson,Computer Science,1976,Topics: computer science,computer science,available
Uncanny Valley,Anna Wiener; Suehyla El-Attar; Javier Calvo,Computer Science,2020,Topics: computer science,computer science,available
Everybody Lies,Seth Stephens-Davidowitz,Computer Science,2017,"Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",computer science,available
The basics of hacking and penetration testing,Pat Engebretson,Computer Science,2011,Topics: computer science,computer science,available
Java how to program--early objects,Paul J. Deitel; Harvey M. Deitel,Computer Science,2011,Topics: computer science,computer science,available
Artificial Intelligence,Melanie Mitchell,Computer Science,2019,Topics: computer science,computer science,available
Data structures using C and C++,Yedidyah Langsam,Computer Science,2000,Topics: computer science,computer science,available
I choose you!,Tracey West,Computer Science,1999,Topics: computer science,computer science,available
Physics for Computer Science Students,Narciso Garcia; Arthur Damask; Steven Schwarz,Computer Science,1986,With Emphasis on Atomic and Semiconductor Physics,computer science,available
BTEC National for IT Practitioners,Sharon Yull,Computer Science,2008,Topics: computer science,computer science,unavailable
Java how to program,Paul J. Deitel; Harvey M. Deitel,Computer Science,2005,Topics: computer science,computer science,available
Head First Python,Paul Barry,Computer Science,2010,Topics: computer science,computer science,available
Erebos,Ursula Poznanski,Computer Science,2010,Topics: computer science,computer science,available
Discrete and combinatorial mathematics,Ralph P. Grimaldi,Computer Science,1985,Topics: computer science,computer science,available
Cult of the Dead Cow,Joseph Menn,Computer Science,2019,Topics: computer science,computer science,available
Data structures and algorithm analysis in C,Mark Allen Weiss,Computer Science,1993,Topics: computer science,computer science,available
Diggers,Terry Pratchett,Computer Science,1990,Topics: computer science,computer science,available
Dataclysm,Christian Rudder,Computer Science,2014,Topics: computer science,computer science,available
Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,Computer Science,2014,Topics: computer science,computer science,available
"Agile Software Development, Principles, Patterns, and Practices",Robert C. Martin,Computer Science,2002,Topics: computer science,computer science,available
Machines That Think,Isaac Asimov; Patricia S. Warrick; Martin H. Greenberg,Computer Science,1984,Topics: computer science,computer science,unavailable
Halting State,Charles Stross,Computer Science,2007,Topics: computer science,computer science,unavailable
Mathematical methods for physicists,George B. Arfken; Hans J. Weber; Frank E. Harris,Computer Science,1966,Topics: computer science,computer science,unavailable
The Hacker Crackdown,Bruce Sterling,Computer Science,1992,Law and Disorder on the Electronic Frontier,computer science,available
Advanced Computing and Systems for Security,Rituparna Chaki; Agostino Cortesi; Khalid Saeed,Computer Science,2015,Topics: computer science,computer science,available
True Names,Vernor Vinge; James Frenkel,Computer Science,1984,And the Opening of the Cyberspace Frontier,computer science,available
Introduction to machine learning,Ethem Alpaydin,Computer Science,2004,Topics: computer science,computer science,unavailable
Connectionist modeling and brain function,Carl R. Olson; Robert Hanna,Computer Science,1990,Topics: computer science,computer science,available
Data Structures and Algorithms in Python,Michael T. Goodrich; Roberto Tamassia; Michael H Goldwasser,Computer Science,2012,Topics: computer science,computer science,available
Java Concurrency in Practice,Brian Goetz; Joshua Bloch; Joseph Bowbeer,Computer Science,2006,Topics: computer science,computer science,available
Edition 1,Thomson Gale,Computer Science,1989,Topics: computer science,computer science,available
Refactoring,Martin Fowler,Computer Science,1999,Topics: computer science,computer science,available
The Four,Scott Galloway,Computer Science,2017,"The Hidden DNA of Amazon, Apple, Facebook, and Google",computer science,available
Dealers of Lightning,Michael A. Hiltzik,Computer Science,1999,Xerox PARC and the dawn of the computer age,computer science,available
Beginning Python,James R. Payne,Computer Science,2010,Topics: computer science,computer science,available
The  (new) turing omnibus,A.K. Dewdney,Computer Science,1993,Topics: computer science,computer science,available
Game Programming Patterns,Robert Nystrom,Computer Science,2011,Topics: computer science,computer science,available
An introduction to object-oriented programming,Timothy Budd,Computer Science,1991,Topics: computer science,computer science,unavailable
Advances in Computers,Ali R. Hurson; Veljko Milutinovic,Computer Science,2012,Topics: computer science,computer science,unavailable
For the Win,Cory Doctorow,Computer Science,2010,Topics: computer science,computer science,unavailable
Programming Perl,Larry Wall; Tom Christiansen; Jon Orwant,Computer Science,1990,Topics: computer science,computer science,available
"Cooperative Design, Visualization, and Engineering",Yuhua Luo,Computer Science,2004,Topics: computer science,computer science,available
Deep Learning with Python,Francois Chollet,Computer Science,2017,Topics: computer science,computer science,available
Quantum Computing Since Democritus,Scott Aaronson,Computer Science,2013,Topics: computer science,computer science,available
Lost in math,Sabine Hossenfelder,Computer Science,2018,Topics: computer science,computer science,unavailable
Wings,Terry Pratchett,Computer Science,1990,Topics: computer science,computer science,unavailable
HTML,Jennifer Niederst Robbins,Computer Science,1999,Pocket Reference,computer science,unavailable
Shadows of the mind,Roger Penrose,Computer Science,1994,Topics: computer science,computer science,available
Practical Malware Analysis,Michael Sikorski; Andrew Honig,Computer Science,2012,Topics: computer science,computer science,available
"Java, Java, Java",R. Morelli; Ralph Morelli; Ralph Walde,Computer Science,2002,Topics: computer science,computer science,available
Reverse Design,Patrick Holleman,Computer Science,2018,Topics: computer science,computer science,available
Python machine learning,Sebastian Raschka,Computer Science,2015,Topics: computer science,computer science,available
The Alignment Problem,Brian Christian,Computer Science,2020,Topics: computer science,computer science,available
Bitcoin and cryptocurrency technologies,Arvind Narayanan,Computer Science,2016,Topics: computer science,computer science,available
Mastering Regular Expressions,Jeffrey E. F. Friedl,Computer Science,1997,Topics: computer science,computer science,available
The Hundred-Page Machine Learning Book,Andriy Burkov,Computer Science,2019,Topics: computer science,computer science,available
The pattern on the stone,W. Daniel Hillis,Computer Science,1998,Topics: computer science,computer science,unavailable
Discovering Computers 2018,Misty E. Vermaat; Susan Sebok; Steven M. Freund,Computer Science,2017,Topics: computer science,computer science,available
Technology for Success,Jennifer Campbell; Barbara Clemens; Steven Freund,Computer Science,2019,Topics: computer science,computer science,available
Who Was Steve Jobs?,Pam Pollack; Meg Belviso,Computer Science,2012,Topics: computer science,computer science,available
Advances in Electronics and Electron Physics (Advances in Imaging and Electron Physics),Peter W. Hawkes,Computer Science,1984,Topics: computer science,computer science,available
Ruthless.com,Jerome Preisler,Computer Science,1998,Topics: computer science,computer science,available
Instructional design,Patricia L. Smith; Tillman J. Ragan,Computer Science,1993,Topics: computer science,computer science,available
C++ program design,James P. Cohoon; Jack W. Davidson; James P. Cahoon,Computer Science,1997,Topics: computer science,computer science,unavailable
Learning Perl,Randal L. Schwartz; Tom Phoenix; brian d foy,Computer Science,1993,Topics: computer science,computer science,unavailable
Discrete mathematics with graph theory,Edgar G. Goodaire,Computer Science,1998,Topics: computer science,computer science,available
Data structures,Richard F. Gilberg; Behrouz A. Forouzan,Computer Science,1998,Topics: computer science,computer science,available
Advances in Swarm Intelligence,Ying Tan,Computer Science,2012,Topics: computer science,computer science,available
Computer science,L. Goldschlager; Les Goldschlager; Andrew Lister,Computer Science,1982,Topics: computer science,computer science,available
Cybersecurity Essentials,Charles J. Brooks; Christopher Grow; Philip Craig,Computer Science,2018,Topics: computer science,computer science,available
The Bromeliad,Terry Pratchett,Computer Science,1996,Topics: computer science,computer science,available
Mathematics for Machine Learning,Marc Peter Deisenroth; A. Aldo Faisal; Cheng Soon Ong,Computer Science,2019,Topics: computer science,computer science,available
The Future of the Mind,Michio Kaku,Computer Science,2014,"The Scientific Quest to Understand, Enhance, and Empower the Mind",computer science,available
User Story Mapping,Jeff Patton,Computer Science,2013,Topics: computer science,computer science,available
Software (Ware Tetralogy #1),Rudy Rucker,Computer Science,1982,Topics: computer science,computer science,unavailable
Synners,Pat Cadigan,Computer Science,1991,Topics: computer science,computer science,available
Krondor,Raymond E. Feist,Computer Science,1998,The Betrayal,computer science,unavailable
Data structures & algorithms in Java,Robert Lafore,Computer Science,2003,Topics: computer science,computer science,available
Data Structures Using C,Aaron M. Tenenbaum,Computer Science,1990,Topics: computer science,computer science,unavailable
Applied numerical methods for engineers and scientists,"Rao, S. S.",Computer Science,2002,Topics: computer science,computer science,available
Automating Inequality,Virginia Eubanks; Eubanks,Computer Science,2018,Topics: computer science,computer science,unavailable
Patterns,IBM Redbooks,Computer Science,2002,Topics: computer science,computer science,available
Learn Programming,Antti Salonen,Computer Science,2018,Your Guided Tour Through the Programming Jungle,computer science,available
Here comes everybody,Clay Shirky,Computer Science,2008,Topics: computer science,computer science,unavailable
Sams teach yourself SQL in 10 minutes,Ben Forta,Computer Science,1999,Topics: computer science,computer science,available
Computer organization and design,David A. Patterson,Computer Science,2004,Topics: computer science,computer science,available
Computer science illuminated,Nell B. Dale; Nell Dale; John E. Lewis Ph. D.,Computer Science,2002,Topics: computer science,computer science,available
Crypto,Steven Levy,Computer Science,2001,Topics: computer science,computer science,unavailable
Python for Kids,Jason R. Briggs,Computer Science,2012,A Playful Introduction to Programming,computer science,unavailable
Introduction To Computation And Programming Using Python,John Guttag,Computer Science,2013,Topics: computer science,computer science,available
An Introduction to Object-Oriented Programming With Java,C. Thomas Wu,Computer Science,1998,Topics: computer science,computer science,available
Essentials of oceanography,Tom S. Garrison,Computer Science,1995,Topics: computer science,computer science,available
Purely functional data structures,Chris Okasaki,Computer Science,1998,Topics: computer science,computer science,available
Transformers for Natural Language Processing,Denis Rothman,Computer Science,2021,Topics: computer science,computer science,available
On intelligence,Jeff Hawkins; Sandra Blakeslee,Computer Science,2005,Topics: computer science,computer science,available
High Wizardry (digest),Diane Duane,Computer Science,1990,The Third Book in the Young Wizards Series,computer science,available
Linux,Daniel J. Barrett; Daniel J. Barrett,Computer Science,2004,Pocket Guide,computer science,available
Bioinformatics,David W. Mount,Computer Science,2001,Topics: computer science,computer science,available
Mind Over Machine,Hubert L. Dreyfus,Computer Science,1986,the power of human intuition and expertise in the era of the computer,computer science,available
The New Hacker's Dictionary,Eric S. Raymond; E RAYMOND; Raymond,Computer Science,1991,Topics: computer science,computer science,available
Responsive Web Design,Ethan Marcotte,Computer Science,2011,Topics: computer science,computer science,available
Computers!,Timothy N. Trainor; Diane Krasnewich,Computer Science,1987,Topics: computer science,computer science,available
Irresistible,Adam L. Alter,Computer Science,2017,Topics: computer science,computer science,unavailable
Neural Information Processing,Tingwen Huang,Computer Science,2012,Topics: computer science,computer science,available
Python in a Nutshell,Alex Martelli; Anna Ravenscroft; Steve Holden,Computer Science,2002,Topics: computer science,computer science,available
Algorithms + data structures=programs,Niklaus Wirth,Computer Science,1976,Topics: computer science,computer science,available
IoT,Souvik Pal; Vicente García Díaz; Dac-Nhuong Le,Computer Science,2020,Topics: computer science,computer science,unavailable
Apprendre !,Stanislas Dehaene,Computer Science,2018,Topics: computer science,computer science,unavailable
Perceptrons,Marvin Minsky; Seymour Papert; Léon Bottou,Computer Science,1969,Topics: computer science,computer science,unavailable
Terraform : Up & Running,Yevgeniy Brikman,Computer Science,2017,Topics: computer science,computer science,available
Representing landscapes,Nadia Amoroso,Computer Science,2012,Topics: computer science,computer science,available
Basics of Hacking and Penetration Testing,Patrick Engebretson,Computer Science,2011,Topics: computer science,computer science,available
Rule 34,Charles Stross,Computer Science,2011,Topics: computer science,computer science,unavailable
Data mining,Charu C. Aggarwal,Computer Science,2015,Topics: computer science,computer science,available
Pattern classification and scene analysis,Richard O. Duda,Computer Science,1973,Topics: computer science,computer science,available
Secrets and Lies,Bruce Schneier,Computer Science,2000,Digital Security in a Networked World,computer science,available
Data structures and algorithms in C++,Adam Drozdek,Computer Science,1995,Topics: computer science,computer science,available
AI and Machine Learning for Coders,Laurence Moroney,Computer Science,2020,Topics: computer science,computer science,unavailable
Cryptography and Network Security,William Stallings,Computer Science,2002,Topics: computer science,computer science,unavailable
Pattern Recognition,Cheng-Lin Liu,Computer Science,2012,Topics: computer science,computer science,unavailable
Sketching User Experiences,Bill Buxton,Computer Science,2007,Topics: computer science,computer science,unavailable
Dream Park,Larry Niven; Steven Barnes; Grover Gardner narrator,Computer Science,1981,Topics: computer science,computer science,available
UML distilled,Martin Fowler,Computer Science,1997,Topics: computer science,computer science,available
An introduction to computer science,Jean-Paul Tremblay; Richard B. Bunt,Computer Science,1979,an algorithmic approach,computer science,available
Applying UML and patterns,Craig Larman,Computer Science,1998,Topics: computer science,computer science,available
Cyberpunk,Katie Hafner; John Markoff,Computer Science,1991,outlaws and hackers on the computer frontier,computer science,available
The poetical works of Bret Harte,Bret Harte,Computer Science,1789,Topics: computer science,computer science,available
Ethical Hacking and Penetration Testing Guide,Rafay Baloch,Computer Science,2014,Topics: computer science,computer science,available
Discovering Statistics Using Ibm Spss Statistics,Andy Field,Computer Science,2013,Topics: computer science,computer science,available
Parallel Processing and Applied Mathematics,Roman Wyrzykowski,Computer Science,2003,Topics: computer science,computer science,available
Image Analysis and Recognition,Aurélio Campilho,Computer Science,2004,Topics: computer science,computer science,available
Making money online,Antonia Chitty,Computer Science,2013,Topics: computer science,computer science,available
TCP/IP,Craig Hunt,Computer Science,1992,Network Administration,computer science,unavailable
C++ primer plus,Stephen Prata,Computer Science,1995,Topics: computer science,computer science,unavailable
Rise of the Rocket Girls,Nathalia Holt; Nathalia Holt,Computer Science,2016,Topics: computer science,computer science,available
Cybercrime and Digital Forensics,Thomas J. Holt; Adam M. Bossler; Kathryn C. Seigfried-Spellar,Computer Science,2015,Topics: computer science,computer science,available
Data Structures and Algorithms Made Easy in Java,Narasimha Karumanchi,Computer Science,2011,Topics: computer science,computer science,unavailable
Intro stats,Richard D. De Veaux; Paul F. Velleman; David E. Bock,Computer Science,2003,Topics: computer science,computer science,available
Space demons,Gillian Rubinstein,Computer Science,1988,Topics: computer science,computer science,available
CompTIA Security+ Study Guide,Mike Chapple; David Seidl,Computer Science,2021,Topics: computer science,computer science,available
Broad Band,Claire Lisa Evans; Claire L. Evans,Computer Science,2018,The Untold Story of the Women Who Made the Internet,computer science,available
This Is How They Tell Me the World Ends,Nicole Perlroth,Computer Science,2021,Topics: computer science,computer science,available
97 Things Every Programmer Should Know,Kevlin Henney,Computer Science,2010,Topics: computer science,computer science,available
Poison Island,Arthur Quiller-Couch,Computer Science,1907,Topics: computer science,computer science,unavailable
Atlas of AI,Kate Crawford,Computer Science,2021,Topics: computer science,computer science,available
Algorithms and data structures,Niklaus Wirth,Computer Science,1986,Topics: computer science,computer science,unavailable
Doing Data Science,Rachel Schutt; Cathy O'Neil,Computer Science,2013,Topics: computer science,computer science,available
"Emerging Research in Computing, Information, Communication and Applications",N. R. Shetty; N.H. Prasad; N. Nalini,Computer Science,2015,Topics: computer science,computer science,unavailable
An Introduction to Computer Studies,Noel Kalicharan,Computer Science,1988,Topics: computer science,computer science,unavailable
Computer science,C. S. French,Computer Science,1980,Topics: computer science,computer science,unavailable
Computer architecture,John L. Hennessy; David A. Patterson,Computer Science,1989,Topics: computer science,computer science,available
Java how to program--late objects version,Paul J. Deitel; Harvey M. Deitel,Computer Science,2009,Topics: computer science,computer science,available
Encyclopedia of Computer Science and Technology,Allen Kent; James G. Williams,Computer Science,1996,Topics: computer science,computer science,available
Effective C++,Scott Meyers,Computer Science,1991,Topics: computer science,computer science,unavailable
Classical and object-oriented software engineering,Stephen R. Schach,Computer Science,1996,Topics: computer science,computer science,unavailable
SPSS Explained,Perry R. Hinton; Charlotte Brownlow; Isabella McMurray,Computer Science,2004,Topics: computer science,computer science,available
Systems programming,John J. Donovan,Computer Science,1972,Topics: computer science,computer science,unavailable
The Manga Guide to Databases,Mana Takahashi; Mana Takahashi; ShoÌ„ko Azuma; OÌ„musha.,Computer Science,2005,Topics: computer science,computer science,unavailable
"Growing object-oriented software, guided by tests",Steve Freeman,Computer Science,2010,Topics: computer science,computer science,unavailable
Data structures,Richard F Gilberg,Computer Science,2001,Topics: computer science,computer science,available
CompTIA IT Fundamentals Study Guide,Quentin Docter,Computer Science,2015,Exam FC0-U51 1st Edition,computer science,available
"Night Moves (Tom Clancy's Net Force, No. 3)",Tom Clancy; Netco Partners,Computer Science,1999,Topics: computer science,computer science,available
Practical UI,Adham Dannaway,Computer Science,2022,Topics: computer science,computer science,available
Advances in visual computing,George Bebis; Richard Boyle; Darko Koracin,Computer Science,2005,Topics: computer science,computer science,unavailable
Neural Information Processing,Long Cheng; Andrew Chi Sing Leung; Seiichi Ozawa,Computer Science,2018,Topics: computer science,computer science,available
Army of none,Paul Scharre,Computer Science,2018,Topics: computer science,computer science,available
Let Us Python,Yashavant Kanetkar,Computer Science,2019,Topics: computer science,computer science,unavailable
C++ Black Book,Steven Holzner,Computer Science,2000,A Comprehensive Guide to C++ Mastery,computer science,available
A Balanced Introduction to Computer Science,David Reed,Computer Science,2005,Topics: computer science,computer science,unavailable
SPSS Survival Manual,Julie Pallant,Computer Science,2001,Topics: computer science,computer science,unavailable
Hadoop 2 Quick-Start Guide,Douglas Eadline,Computer Science,2015,Learn the Essentials of Big Data Computing in the Apache Hadoop 2 Ecosystem,computer science,unavailable
Understanding digital literacies,Rodney H. Jones,Computer Science,2012,Topics: computer science,computer science,available
UML,Jason T. Roff,Computer Science,2002,Topics: computer science,computer science,available
Cosmonaut Keep,Ken MacLeod,Computer Science,2000,Topics: computer science,computer science,unavailable
FastCARD,Thomson NETg Press,Computer Science,2005,Topics: computer science,computer science,unavailable
Star Fraction,Ken MacLeod,Computer Science,1995,Topics: computer science,computer science,unavailable
Software Engineering,Eric J. Braude,Computer Science,2000,Topics: computer science,computer science,available
Export controls,United States. General Accounting Office,Computer Science,1986,Topics: computer science,computer science,unavailable
Serious Cryptography,Jean-Philippe Aumasson,Computer Science,2017,Topics: computer science,computer science,available
Artificial Intelligence for Knowledge Management,Eunika Mercier-Laurent; Danielle Boulanger,Computer Science,2014,Topics: computer science,computer science,available
Data structures and program design in C,Robert L. Kruse,Computer Science,1991,Topics: computer science,computer science,available
Blockchain,Melanie Swan,Computer Science,2015,Topics: computer science,computer science,available
Pinterest For Dummies,Kelby Carr,Computer Science,2012,Topics: computer science,computer science,available
Network Security Assessment,Chris McNab,Computer Science,2004,Topics: computer science,computer science,available
Computational fluid dynamics,Jiyuan Tu; Jiyuan TU; Guan Heng YEOH,Computer Science,2007,Topics: computer science,computer science,available
Digital Design and Computer Architecture,Sarah Harris; David Money Harris,Computer Science,2010,Topics: computer science,computer science,available
New perspectives on computer concepts,June Jamrich Parsons; Dan Oja; June Jamirich Parsons,Computer Science,1994,Topics: computer science,computer science,available
The One Device,Brian Merchant,Computer Science,2017,The Secret History of the iPhone,computer science,available
Java Cookbook,Ian F. Darwin,Computer Science,2001,Topics: computer science,computer science,available
